family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(107, (296000081, 296200626))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296200626))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 295800464))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295800464))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 295201004))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295201004))",1,Optimal,31,101,87.39065,True,False,True
chaining,"(107, (296000081, 294100328))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100328))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 295200253))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295200253))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 296200096))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296200096))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 296200093))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296200093))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 296100047))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296100047))",1,Optimal,31,101,87.18211666666669,True,False,True
chaining,"(107, (296000081, 296200088))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296200088))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 295100254))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295100254))",1,Optimal,31,101,87.26201666666668,True,False,True
chaining,"(107, (296000081, 200000336))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200000336))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 200090337))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090337))",1,Optimal,31,101,87.26201666666667,True,False,True
chaining,"(107, (296000081, 200090340))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090340))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100341))",0,Optimal,31,101,87.63148333333335,True,True,False
