family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(295900046, 295200241)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295200241)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 295201004)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295201004)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294100328)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294100328)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 295200253)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295200253)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200000336)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200000336)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090340)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090340)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200000382)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200000382)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294100344)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294100344)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294100348)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294100348)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294100352)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294100352)",1,Optimal,36,96,96,False,False,True
chaining,"(295900046, 295200235)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295200235)",1,Optimal,36,96,96,False,False,True
chaining,"(295900046, 294200141)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294200141)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294200138)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294200138)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294200175)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294200175)",1,Optimal,35,97,97,True,True,True
